"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","FOOTPRINT5","FOOTPRINT6","FOOTPRINT7","FOOTPRINT8","FOOTPRINT9","FOOTPRINT10","FOOTPRINT11","FOOTPRINT12","FOOTPRINT13","FOOTPRINT14","FOOTPRINT15","FOOTPRINT16","CODE_IPC","CODE_JEDEC","COMMENT","COMMON ANODE","COMPONENTAVAILABILITY","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","COMPONENTLINK3DESCRIPTION","COMPONENTLINK3URL","COMPTYPE","DATASHEETVERSION","FOOTPRINT","IC_TECHNOLOGY","LATESTREVISIONDATE","LATESTREVISIONNOTE","MANUFACTURER","NOTE","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PACKAGETOPMARKING","PACKAGEVERSION","PARTNUMBER","PINCOUNT","POWERWISE","PUBLISHED","PUBLISHER","ROHS","VALUE","VOLTAGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"LM338","TO-220AB","","","","","","","","","","","","","","","","","","","","","LM317 Datasheet","http://www.national.com/ds/LM/LM317.pdf","LM317 Web Page","http://www.national.com/pf/LM/LM317.html","T03B Package Page","http://www.national.com/packaging/folders/t03b.html","LDO IC","Apr-2007","","","","","National Semiconductor","","TO-220, Molded, 3 Lead, Straight","T03B","NSUZXYTTE#*LM317T P+","revL, Jan-1992","LM317T","3","N","4-Dec-2008","Altium Limited","N","","","","U?","5-Amp Adjustable Regulators"
"LM339","DIP14","","","","","","","","","","","","","","","","","","LM339","","","Manufacturer Link","http://www.onsemi.com/","Datasheet","http://www.onsemi.com/pub/Collateral/MC34071-D.PDF","","","","Jan-2002, Rev. 5","","","","","","","DIP; 14 Leads; Row Spacing 7.62 mm; Pitch 2.54 mm","646-06","","1995","","","","28-Feb-2003","Altium Limited","","","","","U?","Quad Comparator"
"LM350","TO-220AB","","","","","","","","","","","","","","","","","","LM350","","","LM317 Datasheet","http://www.national.com/ds/LM/LM317.pdf","LM317 Web Page","http://www.national.com/pf/LM/LM317.html","T03B Package Page","http://www.national.com/packaging/folders/t03b.html","LDO IC","Apr-2007","","","","","National Semiconductor","","TO-220, Molded, 3 Lead, Straight","T03B","NSUZXYTTE#*LM317T P+","revL, Jan-1992","LM317T","3","N","4-Dec-2008","Altium Limited","N","","","","U?","3-Terminal 3A Adjustable Regulator, 3-pin TO-220"
"LM358AN","DIP8","TSSOP8","","","","","","","","","","","","","","","","MO-001-AN","","","","Manufacturer Link","http://www.st.com/","Datasheet","http://www.st.com/stonline/products/literature/ds/2163/lm358.pdf","","","","Jun-1998","","","06-Jun-2005","Stylized 3D Model Added.","","","DIP; 8 Leads; Row Spacing 7.62 mm; Pitch 2.54 mm","DIP8","","","","","","24-Aug-2001","Altium Limited","","","","","U?","Low-Power Dual Operational Amplifier"
"LM7805","TO-220AB","TO-252","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?","3-Terminal Positive Voltage Regulators, 3-pin TO-220"
"LM7809","TO-220AB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?","3-Terminal Positive Voltage Regulators, 3-pin TO-220"
"LM7812","TO-220AB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?","3-Terminal Positive Voltage Regulators, 3-pin TO-220"
"LM7815","TO-220AB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?","3-Terminal Positive Voltage Regulators, 3-pin TO-220"
"LM7818","TO-220AB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?","3-Terminal Positive Voltage Regulators, 3-pin TO-220"
"MAX232","DIP16","","","","","","","","","","","","","","","","","","MAX232","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","MAX232x Dual EIA-232 Drivers/Receivers"
